Title,Date
"The IT Crowd: Series 1: Aunt Irma Visits","1/9/21"
"The IT Crowd: Series 1: The Haunting of Bill Crouse","1/9/21"
"The IT Crowd: Series 1: The Red Door","1/9/21"
"The IT Crowd: Series 1: Fifty-Fifty","1/9/21"
"The IT Crowd: Series 1: Calamity Jen","1/9/21"
"The IT Crowd: Series 1: Yesterday's Jam","1/9/21"
"Gad Elmaleh: American Dream","1/4/21"
"Huge in France: Season 1: Épisode Huit","12/27/20"
"Huge in France: Season 1: Épisode Sept","12/27/20"
"Huge in France: Season 1: Épisode Six","12/27/20"
"Huge in France: Season 1: Épisode Cinq","12/27/20"
"Huge in France: Season 1: Épisode Quatre","12/27/20"
"Gad Gone Wild","12/26/20"
"Big Mouth: Season 4: What Are You Gonna Do?","12/6/20"
"Big Mouth: Season 4: Horrority House","12/6/20"
"Big Mouth: Season 4: The Funeral","12/6/20"
"Big Mouth: Season 4: Four Stories About Hand Stuff","12/6/20"
"Big Mouth: Season 4: Nick Starr","12/6/20"
"Big Mouth: Season 4: A Very Special 9/11 Episode","12/6/20"
"Big Mouth: Season 4: Cafeteria Girls","12/6/20"
"Big Mouth: Season 4: Poop Madness","12/6/20"
"Big Mouth: Season 4: The Hugest Period Ever","12/6/20"
"Big Mouth: Season 4: The New Me","12/6/20"
"Feel Good: Season 1: Episode 5","11/19/20"
"Feel Good: Season 1: Episode 4","11/19/20"
"Feel Good: Season 1: Episode 3","11/19/20"
"Feel Good: Season 1: Episode 2","11/19/20"
"Carmen Sandiego: Season 3: The Jolly Good Show Caper","10/25/20"
"Carmen Sandiego: Season 1: The French Connection Caper","10/25/20"
"Carmen Sandiego: Season 3: The Masks of Venice Caper","10/25/20"
"Carmen Sandiego: Season 3: The Haunted Bayou Caper","10/25/20"
"Carmen Sandiego: Season 3: The Day of the Dead Caper","10/25/20"
"Carmen Sandiego: Season 3: The Luchadora Tango Caper","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Age of the Wonderbeasts","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Prahmises","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Hidden Treasures","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Requiem for a Dave","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: It's a Trap","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Song ReMix","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Don't You Forget a Meow Me","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: A Wolf in Wolf's Clothing","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Code Word Milkshake","10/25/20"
"Kipo and the Age of Wonderbeasts: Season 3: Everything Is Crabs","10/25/20"
"The Little Hours","10/3/20"
"Shrek the Musical","10/3/20"
"The Umbrella Academy: Season 2: The End of Something","8/21/20"
"The Umbrella Academy: Season 2: 743","8/21/20"
"The Umbrella Academy: Season 2: The Seven Stages","8/21/20"
"The Umbrella Academy: Season 2: Öga for Öga","8/21/20"
"The Umbrella Academy: Season 2: A Light Supper","8/21/20"
"The Umbrella Academy: Season 2: Valhalla","8/20/20"
"The Umbrella Academy: Season 2: The Majestic 12","8/20/20"
"The Umbrella Academy: Season 2: The Swedish Job","8/20/20"
"The Umbrella Academy: Season 2: The Frankel Footage","8/20/20"
"The Umbrella Academy: Season 2: Right Back Where We Started","8/20/20"
"The Legend of Korra: Book Four: Balance: The Last Stand","8/20/20"
"The Legend of Korra: Book Four: Balance: Day of the Colossus","8/20/20"
"The Legend of Korra: Book Four: Balance: Kuvira's Gambit","8/20/20"
"The Legend of Korra: Book Four: Balance: Operation: Beifong","8/20/20"
"The Legend of Korra: Book Four: Balance: Beyond the Wilds","8/20/20"
"The Legend of Korra: Book Four: Balance: Remembrances","8/20/20"
"The Legend of Korra: Book Four: Balance: Reunion","8/20/20"
"The Legend of Korra: Book Four: Balance: The Battle of Zaofu","8/20/20"
"The Legend of Korra: Book Four: Balance: Enemy at the Gates","8/20/20"
"The Legend of Korra: Book Four: Balance: The Calling","8/20/20"
"The Legend of Korra: Book Four: Balance: The Coronation","8/20/20"
"The Legend of Korra: Book Four: Balance: Korra Alone","8/20/20"
"The Legend of Korra: Book Four: Balance: After All These Years","8/20/20"
"The Legend of Korra: Book Three: Change: Venom of the Red Lotus","8/20/20"
"The Legend of Korra: Book Three: Change: Enter the Void","8/20/20"
"The Legend of Korra: Book Three: Change: The Ultimatum","8/20/20"
"The Legend of Korra: Book Three: Change: Long Live the Queen","8/20/20"
"The Legend of Korra: Book Three: Change: The Stakeout","8/20/20"
"The Legend of Korra: Book Three: Change: The Terror Within","8/20/20"
"The Legend of Korra: Book Three: Change: Original Airbenders","8/20/20"
"The Legend of Korra: Book Three: Change: Old Wounds","8/19/20"
"The Legend of Korra: Book Three: Change: The Metal Clan","8/19/20"
"The Legend of Korra: Book Three: Change: In Harm's Way","8/19/20"
"The Legend of Korra: Book Three: Change: The Earth Queen","8/19/20"
"The Legend of Korra: Book Three: Change: Rebirth","8/19/20"
"The Legend of Korra: Book Three: Change: A Breath of Fresh Air","8/19/20"
"The Legend of Korra: Book Two: Spirits: Light in the Dark","8/19/20"
"The Legend of Korra: Book Two: Spirits: Darkness Falls","8/19/20"
"The Legend of Korra: Book Two: Spirits: Harmonic Convergence","8/19/20"
"The Legend of Korra: Book Two: Spirits: Night of a Thousand Stars","8/19/20"
"The Legend of Korra: Book Two: Spirits: A New Spiritual Age","8/19/20"
"The Legend of Korra: Book Two: Spirits: The Guide","8/19/20"
"The Legend of Korra: Book Two: Spirits: Beginnings: Part 2","8/19/20"
"The Legend of Korra: Book Two: Spirits: Beginnings: Part 1","8/19/20"
"The Legend of Korra: Book Two: Spirits: Civil Wars: Part 2","8/19/20"
"The Legend of Korra: Book Two: Spirits: The Sting","8/19/20"
"The Legend of Korra: Book Two: Spirits: Peacekeepers","8/19/20"
"The Legend of Korra: Book Two: Spirits: Civil Wars: Part 1","8/19/20"
"The Legend of Korra: Book Two: Spirits: The Southern Lights","8/19/20"
"The Legend of Korra: Book Two: Spirits: Rebel Spirit","8/19/20"
"The Legend of Korra: Book One: Air: Endgame","8/18/20"
"The Legend of Korra: Book One: Air: Skeletons in the Closet","8/18/20"
"The Legend of Korra: Book One: Air: Turning the Tides","8/18/20"
"The Legend of Korra: Book One: Air: Out of the Past","8/18/20"
"The Legend of Korra: Book One: Air: When Extremes Meet","8/18/20"
"The Legend of Korra: Book One: Air: The Aftermath","8/18/20"
"The Legend of Korra: Book One: Air: And the Winner Is…","8/18/20"
"The Legend of Korra: Book One: Air: The Spirit of Competition","8/18/20"
"The Legend of Korra: Book One: Air: The Voice in the Night","8/18/20"
"The Legend of Korra: Book One: Air: The Revelation","8/18/20"
"The Legend of Korra: Book One: Air: A Leaf in the Wind","8/18/20"
"The Legend of Korra: Book One: Air: Welcome to Republic City","8/18/20"
"Inglourious Basterds","7/19/20"
"The Old Guard","7/11/20"
"Airplane!","7/7/20"
"The OA: Part I: Chapter 4: Away","7/3/20"
"The OA: Part I: Chapter 3: Champion","7/3/20"
"The OA: Part I: Chapter 2: New Colossus","7/2/20"
"The OA: Part I: Chapter 1: Homecoming","7/2/20"
"Patriot Act with Hasan Minhaj: Volume 6: Why Doing Taxes Is So Hard","7/2/20"
"Altered Carbon: Season 1: Out of the Past","6/27/20"
"Hilda: Season 1: Chapter 1: The Hidden People","6/27/20"
"The Witcher: Season 1: Rare Species","6/23/20"
"Patriot Act with Hasan Minhaj: Volume 6: We're Doing Elections Wrong","6/23/20"
"The Witcher: Season 1: Bottled Appetites","6/22/20"
"The Witcher: Season 1: Of Banquets, Bastards and Burials","6/22/20"
"The Witcher: Season 1: Betrayer Moon","6/21/20"
"The Witcher: Season 1: Four Marks","6/21/20"
"The Witcher: Season 1: The End’s Beginning","6/21/20"
"The Order: Season 1: Hell Week: Part 1","6/21/20"
"Floor Is Lava: Season 1: The Basement: Level 1","6/21/20"
"Pacific Heat: Season 1: A Return to Evil","6/21/20"
"Pacific Heat: Season 1: A Deadly Grudge","6/21/20"
"Pacific Heat: Season 1: Extreme Turbulence","6/21/20"
"Pacific Heat: Season 1: A Deadly Deal","6/21/20"
"Pacific Heat: Season 1: A Brush with Death","6/21/20"
"Pacific Heat: Season 1: In the Wrong Hands","6/21/20"
"Trollhunters: Tales of Arcadia: Part 1: To Catch a Changeling","6/20/20"
"Trollhunters: Tales of Arcadia: Part 1: Win Lose or Draal","6/20/20"
"Trollhunters: Tales of Arcadia: Part 1: Waka Chaka!","6/20/20"
"The Politician: Season 2: Election Day","6/19/20"
"The Politician: Season 2: What's in the Box?","6/19/20"
"The Politician: Season 2: The Voters","6/19/20"
"The Politician: Season 2: Hail Mary","6/19/20"
"The Politician: Season 2: Cancel Culture","6/19/20"
"Pacific Heat: Season 1: A Troublesome Guest","6/19/20"
"Pacific Heat: Season 1: Married to Murder","6/19/20"
"The Politician: Season 2: Conscious Unthroupling","6/19/20"
"The Politician: Season 2: New York State of Mind","6/19/20"
"Pacific Heat: Season 1: The Face of Terror","6/18/20"
"Pacific Heat: Season 1: The Science of Death","6/18/20"
"Pacific Heat: Season 1: A Family Affair","6/17/20"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-One: The Hellbound Heart","6/17/20"
"Ghost in the Shell: SAC_2045: Season 1: NO NOISE NO LIFE - Sustainable War","6/17/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Twenty: The Mephisto Waltz","6/15/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Nineteen: The Mandrake","6/15/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Eighteen: The Miracles of Sabrina Spellman","6/15/20"
"The Last Kids on Earth: Book 1: The Last Kids on Earth","6/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Gnome Your Enemy","6/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Wherefore Art Thou, Trollhunter?","6/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Becoming: Part 2","6/15/20"
"Trollhunters: Tales of Arcadia: Part 1: Becoming: Part 1","6/15/20"
"Tuca & Bertie: Season 1: The Sugar Bowl","6/15/20"
"The Hollow: Season 2: Home","6/15/20"
"The Hollow: Season 1: Colrath","6/15/20"
"The Hollow: Season 1: Cocoon","6/15/20"
"The Hollow: Season 1: Ice","6/15/20"
"The Hollow: Season 1: The Riddle","6/15/20"
"The Hollow: Season 1: Undead","6/15/20"
"The Hollow: Season 1: Ishibo","6/14/20"
"The Hollow: Season 1: The Lighthouse","6/14/20"
"The Hollow: Season 1: Apocalypse","6/14/20"
"The Hollow: Season 1: The Desert","6/14/20"
"The Hollow: Season 1: The Room","6/14/20"
"The Dragon Prince: Season 3: The Final Battle","6/14/20"
"The Dragon Prince: Season 3: Dragonguard","6/14/20"
"The Dragon Prince: Season 3: Hearts of Cinder","6/14/20"
"The Dragon Prince: Season 3: Thunderfall","6/14/20"
"The Dragon Prince: Season 3: Heroes and Masterminds","6/14/20"
"The Dragon Prince: Season 3: The Midnight Desert","6/14/20"
"The Dragon Prince: Season 3: Ghost","6/14/20"
"The Dragon Prince: Season 3: The Crown","6/14/20"
"The Dragon Prince: Season 3: Sol Regem","6/14/20"
"The Dragon Prince: Season 2: Breathe","6/14/20"
"The Dragon Prince: Season 2: The Book of Destiny","6/14/20"
"The Dragon Prince: Season 2: Fire and Fury","6/14/20"
"The Dragon Prince: Season 2: Heart of a Titan","6/14/20"
"The Dragon Prince: Season 2: Breaking the Seal","6/14/20"
"The Dragon Prince: Season 2: Voyage of the Ruthless","6/14/20"
"The Dragon Prince: Season 2: Smoke and Mirrors","6/14/20"
"The Dragon Prince: Season 2: Half Moon Lies","6/14/20"
"The Dragon Prince: Season 2: A Secret and a Spark","6/14/20"
"Love, Death & Robots: Volume 1: ZIMA BLUE","6/13/20"
"Love, Death & Robots: Volume 1: BLINDSPOT","6/13/20"
"Love, Death & Robots: Volume 1: LUCKY 13","6/13/20"
"Love, Death & Robots: Volume 1: ALTERNATE HISTORIES","6/13/20"
"Love, Death & Robots: Volume 1: HELPING HAND","6/13/20"
"Love, Death & Robots: Volume 1: FISH NIGHT","6/13/20"
"Love, Death & Robots: Volume 1: SHAPE-SHIFTERS","6/13/20"
"Love, Death & Robots: Volume 1: THE DUMP","6/13/20"
"Love, Death & Robots: Volume 1: GOOD HUNTING","6/13/20"
"Love, Death & Robots: Volume 1: SUITS","6/13/20"
"Love, Death & Robots: Volume 1: THE WITNESS","6/13/20"
"Love, Death & Robots: Volume 1: SUCKER OF SOULS","6/13/20"
"Love, Death & Robots: Volume 1: THE SECRET WAR","6/13/20"
"Love, Death & Robots: Volume 1: WHEN THE YOGURT TOOK OVER","6/13/20"
"Love, Death & Robots: Volume 1: SONNIE'S EDGE","6/13/20"
"Love, Death & Robots: Volume 1: ICE AGE","6/13/20"
"Love, Death & Robots: Volume 1: BEYOND THE AQUILA RIFT","6/13/20"
"Love, Death & Robots: Volume 1: THREE ROBOTS","6/13/20"
"Carmen Sandiego: Season 2: The Deep Dive Caper","6/13/20"
"Carmen Sandiego: Season 2: The African Ice Caper","6/13/20"
"Carmen Sandiego: Season 2: The Stockholm Syndrome Caper","6/13/20"
"Carmen Sandiego: Season 2: The Crackle Goes Kiwi Caper","6/13/20"
"Carmen Sandiego: Season 2: The Need for Speed Caper","6/13/20"
"Carmen Sandiego: Season 2: The Boston Tea Party Caper","6/13/20"
"Carmen Sandiego: Season 2: The Fashionista Caper","6/13/20"
"3Below: Tales of Arcadia: Part 1: Terra Incognita Part Two","6/13/20"
"3Below: Tales of Arcadia: Part 1: Terra Incognita Part One","6/13/20"
"Carmen Sandiego: Season 2: The Daisho Caper","6/12/20"
"Carmen Sandiego: Season 2: The Hot Rocks of Rio Caper, Part 2","6/12/20"
"Carmen Sandiego: Season 1: The Lucky Cat Caper","6/12/20"
"Carmen Sandiego: Season 2: The Hot Rocks of Rio Caper, Part 1","6/12/20"
"Carmen Sandiego: Season 1: The Chasing Paper Caper","6/12/20"
"Carmen Sandiego: Season 1: The Opera in the Outback Caper","6/12/20"
"Carmen Sandiego: Season 1: The Duke of Vermeer Caper","6/12/20"
"Carmen Sandiego: Season 1: The Fishy Doubloon Caper","6/12/20"
"Carmen Sandiego: Season 1: The Sticky Rice Caper","6/12/20"
"Carmen Sandiego: Season 1: Becoming Carmen Sandiego: Part II","6/12/20"
"Carmen Sandiego: Season 1: Becoming Carmen Sandiego: Part I","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: Heroes on Fire","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: All That Glitters","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: Sympathy for the Mandrill","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: Benson and the Beast","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: Fun Gus Part II","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: Fun Gus Part 1","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: To Catch a Deathstalker","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: The Ballad of Brunchington Beach","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: The Goat Cheese Prophecy","6/12/20"
"Kipo and the Age of Wonderbeasts: Season 2: Paw of the Jaguar","6/12/20"
"Pacific Heat: Season 1: Countdown to Death","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Beyond the Valley of the Dogs","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: The Astronomers in Turtlenecks","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Mute-Eat-Mute World","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Twin Beaks","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Mulholland","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Ratland","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Cactus Town","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Real Cats Wear Plaid","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Explosion Berries","6/11/20"
"Kipo and the Age of Wonderbeasts: Season 1: Burrow Girl","6/11/20"
"Pacific Heat: Season 1: A Dangerous Game","6/10/20"
"Tall Girl","6/10/20"
"Never Have I Ever: Season 1: ... said I'm sorry","6/9/20"
"Never Have I Ever: Season 1: ... had to be on my best behavior","6/9/20"
"Never Have I Ever: Season 1: ... pissed off everyone I know","6/9/20"
"Never Have I Ever: Season 1: ... been a big, fat liar","6/9/20"
"Never Have I Ever: Season 1: ... been the loneliest boy in the world","6/9/20"
"Never Have I Ever: Season 1: ... started a nuclear war","6/8/20"
"Never Have I Ever: Season 1: ... felt super Indian","6/8/20"
"Never Have I Ever: Season 1: ... gotten drunk with the popular kids","6/8/20"
"Snowpiercer","6/7/20"
"Train to Busan","6/7/20"
"Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida","6/7/20"
"Patriot Act with Hasan Minhaj: Volume 6: Why the News Industry Is Dying","6/7/20"
"Patriot Act with Hasan Minhaj: Volume 6: We Cannot Stay Silent About George Floyd","6/7/20"
"Never Have I Ever: Season 1: Pilot","6/5/20"
"Lady Bird","6/5/20"
"Patriot Act with Hasan Minhaj: Volume 6: How Coronavirus Broke America","6/5/20"
"Django Unchained","6/4/20"
"F is for Family: Season 1: The Bleedin’ in Sweden","6/4/20"
"Paradise PD: Part 2: Operation DD","6/4/20"
"Paradise PD: Part 2: Paradise PD Meets Brickleberry","6/4/20"
"The Dragon Prince: Season 1: Wonderstorm","6/4/20"
"The Dragon Prince: Season 1: Cursed Caldera","6/4/20"
"The Dragon Prince: Season 1: The Dagger and the Wolf","6/4/20"
"Paradise PD: Part 2: Flip the Vote","6/4/20"
"Paradise PD: Part 2: The Father, the Son and the Post-it Note","6/4/20"
"Paradise PD: Part 2: Who Ate Wally's Waffles","6/4/20"
"Paradise PD: Part 2: Tucker Carlson Is a Huge D**k","6/4/20"
"Paradise PD: Part 2: Big Ball Energy","6/4/20"
"Paradise PD: Part 2: Paradise Found","6/4/20"
"Paradise PD: Part 1: Christmas in Paradise","6/4/20"
"Paradise PD: Part 1: Parent Trap","6/4/20"
"Paradise PD: Part 1: Task Force","6/3/20"
"Paradise PD: Part 1: Police Academy","6/3/20"
"Paradise PD: Part 1: Meet the Jabowskis","6/3/20"
"Paradise PD: Part 1: Dungeons & Dragnet","6/3/20"
"The Dragon Prince: Season 1: Through the Ice","6/3/20"
"The Dragon Prince: Season 1: An Empty Throne","6/3/20"
"The Dragon Prince: Season 1: Bloodthirsty","6/3/20"
"The Dragon Prince: Season 1: Moonrise","6/3/20"
"The Dragon Prince: Season 1: What Is Done","6/3/20"
"Paradise PD: Part 1: Karla","6/3/20"
"Paradise PD: Part 1: Black & Blue","6/3/20"
"Paradise PD: Part 1: Ass on the Line","6/3/20"
"Paradise PD: Part 1: Welcome to Paradise","6/3/20"
"The Dragon Prince: Season 1: Echoes of Thunder","6/3/20"
"Uncut Gems","6/3/20"
"Street Food: Asia: Season 1: Bangkok, Thailand","5/31/20"
"Space Force: Season 1: THE LAUNCH","5/31/20"
"Medical Police: Season 1: Everything Goes Back to Normal … or Do They??","5/30/20"
"Medical Police: Season 1: Real Heavy Hitter","5/30/20"
"Medical Police: Season 1: Just the D","5/30/20"
"Medical Police: Season 1: Everybody Panic!","5/30/20"
"Medical Police: Season 1: The Lasagna as a Whole","5/30/20"
"Medical Police: Season 1: Deuce to Nines, Double Draw","5/30/20"
"Medical Police: Season 1: Mature Group Action","5/30/20"
"Medical Police: Season 1: Dumb Doggy","5/30/20"
"Medical Police: Season 1: The Goldfinch","5/30/20"
"Medical Police: Season 1: Wheels Up","5/29/20"
"Trailer Park Boys: The Animated Series: Season 1: Space Weed","5/29/20"
"Trailer Park Boys: The Animated Series: Season 1: Long Story Short … A Bear Ripped My C**k Off and Ate It","5/29/20"
"Jeffrey Epstein: Filthy Rich: Limited Series: Follow the Money","5/28/20"
"Jeffrey Epstein: Filthy Rich: Limited Series: Hunting Grounds","5/28/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Seventeen: The Missionaries","5/28/20"
"Waco: Limited Series: Day 51","5/27/20"
"Waco: Limited Series: Stalling for Time","5/27/20"
"Waco: Limited Series: Of Milk and Men","5/26/20"
"Waco: Limited Series: Operation Showtime","5/26/20"
"Waco: Limited Series: The Strangers Across the Street","5/26/20"
"Waco: Limited Series: Visions and Omens","5/26/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Sixteen: Blackwood","5/26/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Fifteen: Doctor Cerberus's House of Horror","5/26/20"
"Patriot Act with Hasan Minhaj: Volume 6: The Legal Marijuana Industry Is Rigged","5/26/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Fourteen: Lupercalia","5/25/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Thirteen: The Passion of Sabrina Spellman","5/25/20"
"Chilling Adventures of Sabrina: Part 2: Chapter Twelve: The Epiphany","5/25/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Eleven: A Midwinter's Tale","5/25/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Ten: The Witching Hour","5/25/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Nine: The Returned Man","5/25/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Eight: The Burial","5/25/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Seven: Feast of Feasts","5/25/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Six: An Exorcism in Greendale","5/24/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Five: Dreams in a Witch House","5/24/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Four: Witch Academy","5/24/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Three: The Trial of Sabrina Spellman","5/24/20"
"Chilling Adventures of Sabrina: Part 1: Chapter Two: The Dark Baptism","5/24/20"
"Chilling Adventures of Sabrina: Part 1: Chapter One: October Country","5/24/20"
"The Magicians: Season 1: Unauthorized Magic","5/24/20"
"The Bling Ring","5/24/20"
"Lucifer: Season 3: Off the Record","5/23/20"
"Lucifer: Season 3: Vegas with Some Radish","5/23/20"
"Lucifer: Season 3: Welcome Back, Charlotte Richards","5/23/20"
"Lucifer: Season 3: What Would Lucifer Do?","5/23/20"
"Lucifer: Season 3: Mr. and Mrs. Mazikeen Smith","5/22/20"
"Lucifer: Season 3: The One with the Baby Carrot","5/22/20"
"Lucifer: Season 3: They're Back, Aren't They?","5/21/20"
"Lucifer: Season 2: The Good, The Bad and The Crispy","5/21/20"
"Lucifer: Season 2: Sympathy for the Goddess","5/21/20"
"Lucifer: Season 2: God Johnson","5/21/20"
"Lucifer: Season 2: Deceptive Little Parasite","5/21/20"
"Lucifer: Season 2: Candy Morningstar","5/20/20"
"Lucifer: Season 2: A Good Day to Die","5/20/20"
"Lucifer: Season 2: Love Handles","5/20/20"
"Lucifer: Season 2: Stewardess Interruptus","5/20/20"
"Lucifer: Season 2: Quid Pro Ho","5/20/20"
"Lucifer: Season 2: Homewrecker","5/20/20"
"Lucifer: Season 2: Trip to Stabby Town","5/20/20"
"Lucifer: Season 2: My Little Monkey","5/20/20"
"Lucifer: Season 2: Monster","5/20/20"
"Lucifer: Season 2: The Weaponizer","5/19/20"
"Lucifer: Season 2: Lady Parts","5/19/20"
"Lucifer: Season 2: Sin-Eater","5/19/20"
"Lucifer: Season 2: Liar, Liar, Slutty Dress on Fire","5/19/20"
"Lucifer: Season 2: Everything's Coming Up Lucifer","5/19/20"
"Lucifer: Season 1: Pilot","5/19/20"
"Patriot Act with Hasan Minhaj: Volume 6: What Happens If You Can't Pay Rent?","5/19/20"
"Marvel's Daredevil: Season 1: Into the Ring","5/18/20"
"Avatar: The Last Airbender: Book 3: The Ember Island Players","5/18/20"
"Avatar: The Last Airbender: Book 3: The Southern Raiders","5/18/20"
"Avatar: The Last Airbender: Book 3: The Firebending Masters","5/17/20"
"Avatar: The Last Airbender: Book 3: The Western Air Temple","5/17/20"
"Avatar: The Last Airbender: Book 3: Nightmares and Daydreams","5/17/20"
"Avatar: The Last Airbender: Book 3: The Puppetmaster","5/17/20"
"Avatar: The Last Airbender: Book 3: The Runaway","5/17/20"
"Avatar: The Last Airbender: Book 3: The Avatar and the Firelord","5/17/20"
"Avatar: The Last Airbender: Book 3: The Beach","5/17/20"
"Avatar: The Last Airbender: Book 3: The Painted Lady","5/17/20"
"Avatar: The Last Airbender: Book 3: The Headband","5/17/20"
"Avatar: The Last Airbender: Book 3: The Awakening","5/17/20"
"Avatar: The Last Airbender: Book 2: The Earth King","5/17/20"
"Avatar: The Last Airbender: Book 2: Lake Laogai","5/17/20"
"Avatar: The Last Airbender: Book 2: Appa's Lost Days","5/17/20"
"Avatar: The Last Airbender: Book 2: Tales of Ba Sing Se","5/17/20"
"Avatar: The Last Airbender: Book 2: City of Walls and Secrets","5/17/20"
"Avatar: The Last Airbender: Book 2: The Desert","5/17/20"
"Avatar: The Last Airbender: Book 2: The Library","5/17/20"
"Avatar: The Last Airbender: Book 2: Bitter Work","5/17/20"
"Avatar: The Last Airbender: Book 2: The Chase","5/16/20"
